Periodicity;Year;Month;Quarter;Transactions / Sales;Sector;Value in different units;Date_Object;Date;Name
Annually;2023;;;Hotels;Number of Transactions;34305.559;2023-01-01;2023;Hotels :  Number of Transactions
Annually;2023;;;Clothing and Footwear;Sales;43090980.4462169;2023-01-01;2023;Clothing and Footwear :  Sales
Annually;2023;;;Recreation and Culture;Sales;14956789.3628498;2023-01-01;2023;Recreation and Culture :  Sales
Annually;2023;;;Furniture;Number of Transactions;58624.597;2023-01-01;2023;Furniture :  Number of Transactions
Annually;2023;;;Telecommunication;Sales;5107118.51290994;2023-01-01;2023;Telecommunication :  Sales
Annually;2023;;;Education;Number of Transactions;6471.494;2023-01-01;2023;Education :  Number of Transactions
Annually;2023;;;Total;Number of Transactions;8971739.435;2023-01-01;2023;Total :  Number of Transactions
Annually;2023;;;Total;Sales;613956933.324021;2023-01-01;2023;Total :  Sales
Quarterly;2023;;Q2;Transportation;Number of Transactions;31707.02;2023-04-01;Q2 2023;Transportation :  Number of Transactions
Quarterly;2023;;Q3;Transportation;Number of Transactions;33957.139;2023-07-01;Q3 2023;Transportation :  Number of Transactions
Quarterly;2023;;Q1;Health;Number of Transactions;96525.537;2023-01-01;Q1 2023;Health :  Number of Transactions
Quarterly;2023;;Q2;Health;Number of Transactions;96498.952;2023-04-01;Q2 2023;Health :  Number of Transactions
Quarterly;2023;;Q3;Health;Number of Transactions;97190.016;2023-07-01;Q3 2023;Health :  Number of Transactions
Quarterly;2023;;Q1;Hotels;Number of Transactions;7834.327;2023-01-01;Q1 2023;Hotels :  Number of Transactions
Quarterly;2023;;Q3;Hotels;Sales;3461392.90047994;2023-07-01;Q3 2023;Hotels :  Sales
Quarterly;2023;;Q4;Hotels;Sales;3992318.23851994;2023-10-01;Q4 2023;Hotels :  Sales
Quarterly;2023;;Q1;Beverage and Food;Number of Transactions;471886.553;2023-01-01;Q1 2023;Beverage and Food :  Number of Transactions
Quarterly;2023;;Q1;Beverage and Food;Sales;23727218.2538722;2023-01-01;Q1 2023;Beverage and Food :  Sales
Quarterly;2023;;Q2;Clothing and Footwear;Number of Transactions;89791.794;2023-04-01;Q2 2023;Clothing and Footwear :  Number of Transactions
Quarterly;2023;;Q4;Clothing and Footwear;Sales;10139166.1555715;2023-10-01;Q4 2023;Clothing and Footwear :  Sales
Quarterly;2023;;Q1;Recreation and Culture;Sales;3597029.82223995;2023-01-01;Q1 2023;Recreation and Culture :  Sales
Quarterly;2023;;Q3;Miscellaneous Goods and Services;Sales;16995864.2471743;2023-07-01;Q3 2023;Miscellaneous Goods and Services :  Sales
Quarterly;2023;;Q4;Electronic & Electric Devices;Sales;2984170.34117998;2023-10-01;Q4 2023;Electronic & Electric Devices :  Sales
Quarterly;2023;;Q4;Furniture;Number of Transactions;15467.529;2023-10-01;Q4 2023;Furniture :  Number of Transactions
Quarterly;2023;;Q2;Construction & Building Materials;Sales;3928289.19397988;2023-04-01;Q2 2023;Construction & Building Materials :  Sales
Quarterly;2023;;Q3;Construction & Building Materials;Sales;4366677.25082987;2023-07-01;Q3 2023;Construction & Building Materials :  Sales
Quarterly;2023;;Q1;Jewelry;Number of Transactions;2904.606;2023-01-01;Q1 2023;Jewelry :  Number of Transactions
Quarterly;2023;;Q2;Jewelry;Sales;3616044.97086995;2023-04-01;Q2 2023;Jewelry :  Sales
Quarterly;2023;;Q3;Jewelry;Sales;2642690.60856997;2023-07-01;Q3 2023;Jewelry :  Sales
Quarterly;2023;;Q3;Telecommunication;Number of Transactions;9477.656;2023-07-01;Q3 2023;Telecommunication :  Number of Transactions
Quarterly;2023;;Q1;Telecommunication;Sales;1240532.71966;2023-01-01;Q1 2023;Telecommunication :  Sales
Quarterly;2023;;Q3;Education;Sales;3916659.20662001;2023-07-01;Q3 2023;Education :  Sales
Quarterly;2023;;Q4;Education;Sales;2004189.51459;2023-10-01;Q4 2023;Education :  Sales
Quarterly;2023;;Q1;Public Utilities;Number of Transactions;17215.965;2023-01-01;Q1 2023;Public Utilities :  Number of Transactions
Quarterly;2023;;Q1;Others;Sales;33089102.7388112;2023-01-01;Q1 2023;Others :  Sales
Quarterly;2023;;Q2;Total;Number of Transactions;2174009.305;2023-04-01;Q2 2023;Total :  Number of Transactions
Quarterly;2023;;Q3;Total;Number of Transactions;2318367.827;2023-07-01;Q3 2023;Total :  Number of Transactions
Monthly;2023;MAR;;Transportation;Number of Transactions;10573.024;2023-03-01;MAR 2023;Transportation :  Number of Transactions
Monthly;2023;DEC;;Transportation;Number of Transactions;11627.015;2023-12-01;DEC 2023;Transportation :  Number of Transactions
Monthly;2023;JAN;;Transportation;Sales;2666195.26261997;2023-01-01;JAN 2023;Transportation :  Sales
Monthly;2023;MAR;;Transportation;Sales;2955165.70025994;2023-03-01;MAR 2023;Transportation :  Sales
Monthly;2023;AUG;;Transportation;Sales;3214428.48821995;2023-08-01;AUG 2023;Transportation :  Sales
Monthly;2023;MAY;;Health;Number of Transactions;33789.432;2023-05-01;MAY 2023;Health :  Number of Transactions
Monthly;2023;DEC;;Health;Number of Transactions;35257.238;2023-12-01;DEC 2023;Health :  Number of Transactions
Monthly;2023;APR;;Health;Sales;3143608.67314;2023-04-01;APR 2023;Health :  Sales
Monthly;2023;JUN;;Health;Sales;3178405.37208001;2023-06-01;JUN 2023;Health :  Sales
Monthly;2023;DEC;;Health;Sales;3401099.55567003;2023-12-01;DEC 2023;Health :  Sales
Monthly;2023;FEB;;Restaurants & Café;Number of Transactions;187912.366;2023-02-01;FEB 2023;Restaurants & Café :  Number of Transactions
Monthly;2023;AUG;;Restaurants & Café;Number of Transactions;223519.701;2023-08-01;AUG 2023;Restaurants & Café :  Number of Transactions
Monthly;2023;SEP;;Restaurants & Café;Number of Transactions;219585.697;2023-09-01;SEP 2023;Restaurants & Café :  Number of Transactions
Monthly;2023;NOV;;Restaurants & Café;Number of Transactions;234746.682;2023-11-01;NOV 2023;Restaurants & Café :  Number of Transactions
Monthly;2023;APR;;Restaurants & Café;Sales;6870567.26372205;2023-04-01;APR 2023;Restaurants & Café :  Sales
Monthly;2023;NOV;;Restaurants & Café;Sales;7871791.3656733;2023-11-01;NOV 2023;Restaurants & Café :  Sales
Monthly;2023;APR;;Hotels;Number of Transactions;2579.461;2023-04-01;APR 2023;Hotels :  Number of Transactions
Monthly;2023;OCT;;Hotels;Number of Transactions;2843.809;2023-10-01;OCT 2023;Hotels :  Number of Transactions
Monthly;2023;DEC;;Hotels;Number of Transactions;3019.183;2023-12-01;DEC 2023;Hotels :  Number of Transactions
Monthly;2023;JAN;;Hotels;Sales;1217205.61256998;2023-01-01;JAN 2023;Hotels :  Sales
Monthly;2023;DEC;;Hotels;Sales;1409343.78203998;2023-12-01;DEC 2023;Hotels :  Sales
Monthly;2023;MAY;;Beverage and Food;Number of Transactions;180807.134;2023-05-01;MAY 2023;Beverage and Food :  Number of Transactions
Monthly;2023;MAR;;Beverage and Food;Sales;9387070.18778078;2023-03-01;MAR 2023;Beverage and Food :  Sales
Monthly;2023;JUL;;Beverage and Food;Sales;7577554.51474056;2023-07-01;JUL 2023;Beverage and Food :  Sales
Monthly;2023;AUG;;Beverage and Food;Sales;8168300.17231059;2023-08-01;AUG 2023;Beverage and Food :  Sales
Monthly;2023;JAN;;Clothing and Footwear;Number of Transactions;22718.194;2023-01-01;JAN 2023;Clothing and Footwear :  Number of Transactions
Monthly;2023;SEP;;Clothing and Footwear;Number of Transactions;23271.2;2023-09-01;SEP 2023;Clothing and Footwear :  Number of Transactions
Monthly;2023;OCT;;Clothing and Footwear;Number of Transactions;21823.334;2023-10-01;OCT 2023;Clothing and Footwear :  Number of Transactions
Monthly;2023;NOV;;Clothing and Footwear;Number of Transactions;25981.209;2023-11-01;NOV 2023;Clothing and Footwear :  Number of Transactions
Monthly;2023;NOV;;Clothing and Footwear;Sales;3594065.25534058;2023-11-01;NOV 2023;Clothing and Footwear :  Sales
Monthly;2023;JAN;;Recreation and Culture;Number of Transactions;9694.759;2023-01-01;JAN 2023;Recreation and Culture :  Number of Transactions
Monthly;2023;FEB;;Recreation and Culture;Number of Transactions;9355.776;2023-02-01;FEB 2023;Recreation and Culture :  Number of Transactions
Monthly;2023;APR;;Recreation and Culture;Number of Transactions;9147.96;2023-04-01;APR 2023;Recreation and Culture :  Number of Transactions
Monthly;2023;AUG;;Recreation and Culture;Number of Transactions;11528.727;2023-08-01;AUG 2023;Recreation and Culture :  Number of Transactions
Monthly;2023;AUG;;Recreation and Culture;Sales;1370962.23609998;2023-08-01;AUG 2023;Recreation and Culture :  Sales
Monthly;2023;OCT;;Miscellaneous Goods and Services;Number of Transactions;91062.196;2023-10-01;OCT 2023;Miscellaneous Goods and Services :  Number of Transactions
Monthly;2023;APR;;Miscellaneous Goods and Services;Sales;5313280.84715089;2023-04-01;APR 2023;Miscellaneous Goods and Services :  Sales
Monthly;2023;JUL;;Electronic & Electric Devices;Number of Transactions;4608.622;2023-07-01;JUL 2023;Electronic & Electric Devices :  Number of Transactions
Monthly;2023;AUG;;Electronic & Electric Devices;Number of Transactions;5071.091;2023-08-01;AUG 2023;Electronic & Electric Devices :  Number of Transactions
Monthly;2023;JAN;;Electronic & Electric Devices;Sales;985380.159489982;2023-01-01;JAN 2023;Electronic & Electric Devices :  Sales
Monthly;2023;MAY;;Electronic & Electric Devices;Sales;1112900.33551998;2023-05-01;MAY 2023;Electronic & Electric Devices :  Sales
Monthly;2023;JUN;;Electronic & Electric Devices;Sales;1179631.57220999;2023-06-01;JUN 2023;Electronic & Electric Devices :  Sales
Monthly;2023;OCT;;Electronic & Electric Devices;Sales;977549.483459991;2023-10-01;OCT 2023;Electronic & Electric Devices :  Sales
Monthly;2023;SEP;;Furniture;Number of Transactions;4797.162;2023-09-01;SEP 2023;Furniture :  Number of Transactions
Monthly;2023;OCT;;Furniture;Number of Transactions;4861.941;2023-10-01;OCT 2023;Furniture :  Number of Transactions
Monthly;2023;JAN;;Furniture;Sales;1260568.59760996;2023-01-01;JAN 2023;Furniture :  Sales
Monthly;2023;FEB;;Furniture;Sales;1311127.66164997;2023-02-01;FEB 2023;Furniture :  Sales
Monthly;2023;OCT;;Furniture;Sales;1202564.91709996;2023-10-01;OCT 2023;Furniture :  Sales
Monthly;2023;DEC;;Furniture;Sales;1468037.07184996;2023-12-01;DEC 2023;Furniture :  Sales
Monthly;2023;FEB;;Construction & Building Materials;Number of Transactions;5098.515;2023-02-01;FEB 2023;Construction & Building Materials :  Number of Transactions
Monthly;2023;MAR;;Construction & Building Materials;Sales;1591439.71366994;2023-03-01;MAR 2023;Construction & Building Materials :  Sales
Monthly;2023;OCT;;Construction & Building Materials;Sales;1537691.25690995;2023-10-01;OCT 2023;Construction & Building Materials :  Sales
Monthly;2023;NOV;;Construction & Building Materials;Sales;1515235.72160997;2023-11-01;NOV 2023;Construction & Building Materials :  Sales
Monthly;2023;FEB;;Jewelry;Number of Transactions;928.359;2023-02-01;FEB 2023;Jewelry :  Number of Transactions
Monthly;2023;MAR;;Jewelry;Number of Transactions;1094.112;2023-03-01;MAR 2023;Jewelry :  Number of Transactions
Monthly;2023;JUN;;Jewelry;Number of Transactions;1253.899;2023-06-01;JUN 2023;Jewelry :  Number of Transactions
Monthly;2023;FEB;;Jewelry;Sales;887819.988289988;2023-02-01;FEB 2023;Jewelry :  Sales
Monthly;2023;MAY;;Jewelry;Sales;943019.763489986;2023-05-01;MAY 2023;Jewelry :  Sales
Monthly;2023;DEC;;Jewelry;Sales;890466.876929989;2023-12-01;DEC 2023;Jewelry :  Sales
Monthly;2023;MAY;;Telecommunication;Number of Transactions;2574.503;2023-05-01;MAY 2023;Telecommunication :  Number of Transactions
Monthly;2023;NOV;;Telecommunication;Number of Transactions;3375.345;2023-11-01;NOV 2023;Telecommunication :  Number of Transactions
Monthly;2023;DEC;;Telecommunication;Number of Transactions;3470.939;2023-12-01;DEC 2023;Telecommunication :  Number of Transactions
Monthly;2023;MAY;;Telecommunication;Sales;414956.585949995;2023-05-01;MAY 2023;Telecommunication :  Sales
Monthly;2023;OCT;;Telecommunication;Sales;453029.486289991;2023-10-01;OCT 2023;Telecommunication :  Sales
Monthly;2023;JAN;;Education;Number of Transactions;528.978;2023-01-01;JAN 2023;Education :  Number of Transactions
Monthly;2023;APR;;Education;Number of Transactions;276.624;2023-04-01;APR 2023;Education :  Number of Transactions
Monthly;2023;JUN;;Education;Number of Transactions;416.451;2023-06-01;JUN 2023;Education :  Number of Transactions
Monthly;2023;NOV;;Education;Number of Transactions;573.454;2023-11-01;NOV 2023;Education :  Number of Transactions
Monthly;2023;JUN;;Education;Sales;767840.392329998;2023-06-01;JUN 2023;Education :  Sales
Monthly;2023;JUL;;Education;Sales;423962.941449998;2023-07-01;JUL 2023;Education :  Sales
Monthly;2023;NOV;;Education;Sales;740802.884259998;2023-11-01;NOV 2023;Education :  Sales
Monthly;2023;AUG;;Public Utilities;Number of Transactions;6697.588;2023-08-01;AUG 2023;Public Utilities :  Number of Transactions
Monthly;2023;SEP;;Public Utilities;Number of Transactions;6685.289;2023-09-01;SEP 2023;Public Utilities :  Number of Transactions
Monthly;2023;DEC;;Public Utilities;Number of Transactions;7505.143;2023-12-01;DEC 2023;Public Utilities :  Number of Transactions
Monthly;2023;MAR;;Public Utilities;Sales;501481.955619991;2023-03-01;MAR 2023;Public Utilities :  Sales
Monthly;2023;APR;;Public Utilities;Sales;410465.611819997;2023-04-01;APR 2023;Public Utilities :  Sales
Monthly;2023;JUL;;Public Utilities;Sales;470274.748059994;2023-07-01;JUL 2023;Public Utilities :  Sales
Monthly;2023;JAN;;Others;Number of Transactions;147697.224;2023-01-01;JAN 2023;Others :  Number of Transactions
Monthly;2023;AUG;;Others;Number of Transactions;178528.675;2023-08-01;AUG 2023;Others :  Number of Transactions
Monthly;2023;JUN;;Others;Sales;11789636.9076034;2023-06-01;JUN 2023;Others :  Sales
Monthly;2023;FEB;;Total;Number of Transactions;633160.279;2023-02-01;FEB 2023;Total :  Number of Transactions
Monthly;2023;MAR;;Total;Number of Transactions;720219.673;2023-03-01;MAR 2023;Total :  Number of Transactions
Monthly;2023;JUN;;Total;Number of Transactions;756421.827;2023-06-01;JUN 2023;Total :  Number of Transactions
Monthly;2023;SEP;;Total;Number of Transactions;780737.495;2023-09-01;SEP 2023;Total :  Number of Transactions
Monthly;2023;APR;;Total;Sales;51573332.1853981;2023-04-01;APR 2023;Total :  Sales
Monthly;2023;AUG;;Total;Sales;54643386.3466997;2023-08-01;AUG 2023;Total :  Sales
Monthly;2023;NOV;;Total;Sales;52370867.9748811;2023-11-01;NOV 2023;Total :  Sales
Annually;2023;;;Health;Sales;39456331.2449;2023-01-01;2023;Health :  Sales
Annually;2023;;;Restaurants & Café;Number of Transactions;2559795.968;2023-01-01;2023;Restaurants & Café :  Number of Transactions
Annually;2023;;;Hotels;Sales;14687791.8139898;2023-01-01;2023;Hotels :  Sales
Annually;2023;;;Miscellaneous Goods and Services;Number of Transactions;1005649.579;2023-01-01;2023;Miscellaneous Goods and Services :  Number of Transactions
Annually;2023;;;Miscellaneous Goods and Services;Sales;66903692.5115369;2023-01-01;2023;Miscellaneous Goods and Services :  Sales
Annually;2023;;;Electronic & Electric Devices;Sales;12430985.0628999;2023-01-01;2023;Electronic & Electric Devices :  Sales
Annually;2023;;;Furniture;Sales;15607921.3704195;2023-01-01;2023;Furniture :  Sales
Annually;2023;;;Construction & Building Materials;Number of Transactions;70193.611;2023-01-01;2023;Construction & Building Materials :  Number of Transactions
Annually;2023;;;Construction & Building Materials;Sales;17568334.7869695;2023-01-01;2023;Construction & Building Materials :  Sales
Annually;2023;;;Jewelry;Number of Transactions;12215.104;2023-01-01;2023;Jewelry :  Number of Transactions
Annually;2023;;;Education;Sales;9670324.06782;2023-01-01;2023;Education :  Sales
Quarterly;2023;;Q3;Transportation;Sales;9216324.52807986;2023-07-01;Q3 2023;Transportation :  Sales
Quarterly;2023;;Q4;Transportation;Sales;9389645.28007985;2023-10-01;Q4 2023;Transportation :  Sales
Quarterly;2023;;Q1;Restaurants & Café;Number of Transactions;585429.55;2023-01-01;Q1 2023;Restaurants & Café :  Number of Transactions
Quarterly;2023;;Q4;Restaurants & Café;Number of Transactions;709919.639;2023-10-01;Q4 2023;Restaurants & Café :  Number of Transactions
Quarterly;2023;;Q2;Hotels;Sales;3351454.47209996;2023-04-01;Q2 2023;Hotels :  Sales
Quarterly;2023;;Q3;Beverage and Food;Number of Transactions;555253.931;2023-07-01;Q3 2023;Beverage and Food :  Number of Transactions
Quarterly;2023;;Q3;Recreation and Culture;Number of Transactions;32190.943;2023-07-01;Q3 2023;Recreation and Culture :  Number of Transactions
Quarterly;2023;;Q4;Recreation and Culture;Sales;3931961.06238996;2023-10-01;Q4 2023;Recreation and Culture :  Sales
Quarterly;2023;;Q1;Miscellaneous Goods and Services;Sales;15552843.680934;2023-01-01;Q1 2023;Miscellaneous Goods and Services :  Sales
Quarterly;2023;;Q3;Electronic & Electric Devices;Number of Transactions;15074.559;2023-07-01;Q3 2023;Electronic & Electric Devices :  Number of Transactions
Quarterly;2023;;Q1;Electronic & Electric Devices;Sales;3176851.05940996;2023-01-01;Q1 2023;Electronic & Electric Devices :  Sales
Quarterly;2023;;Q2;Electronic & Electric Devices;Sales;3154209.00375996;2023-04-01;Q2 2023;Electronic & Electric Devices :  Sales
Quarterly;2023;;Q3;Furniture;Sales;3757782.10264989;2023-07-01;Q3 2023;Furniture :  Sales
Quarterly;2023;;Q1;Construction & Building Materials;Number of Transactions;16648.136;2023-01-01;Q1 2023;Construction & Building Materials :  Number of Transactions
Quarterly;2023;;Q2;Construction & Building Materials;Number of Transactions;16335.456;2023-04-01;Q2 2023;Construction & Building Materials :  Number of Transactions
Quarterly;2023;;Q1;Construction & Building Materials;Sales;4602906.92880986;2023-01-01;Q1 2023;Construction & Building Materials :  Sales
Quarterly;2023;;Q1;Jewelry;Sales;2655624.88997995;2023-01-01;Q1 2023;Jewelry :  Sales
Quarterly;2023;;Q1;Education;Sales;1938090.86894999;2023-01-01;Q1 2023;Education :  Sales
Quarterly;2023;;Q3;Public Utilities;Number of Transactions;19671.187;2023-07-01;Q3 2023;Public Utilities :  Number of Transactions
Quarterly;2023;;Q1;Public Utilities;Sales;1289303.39582998;2023-01-01;Q1 2023;Public Utilities :  Sales
Quarterly;2023;;Q2;Others;Number of Transactions;483976.151;2023-04-01;Q2 2023;Others :  Number of Transactions
Quarterly;2023;;Q3;Others;Sales;35127456.2596114;2023-07-01;Q3 2023;Others :  Sales
Monthly;2023;JAN;;Transportation;Number of Transactions;9614.367;2023-01-01;JAN 2023;Transportation :  Number of Transactions
Monthly;2023;APR;;Transportation;Number of Transactions;9923.141;2023-04-01;APR 2023;Transportation :  Number of Transactions
Monthly;2023;MAY;;Transportation;Number of Transactions;10884.591;2023-05-01;MAY 2023;Transportation :  Number of Transactions
Monthly;2023;OCT;;Transportation;Number of Transactions;11531.276;2023-10-01;OCT 2023;Transportation :  Number of Transactions
Monthly;2023;FEB;;Transportation;Sales;2448637.15316997;2023-02-01;FEB 2023;Transportation :  Sales
Monthly;2023;JUL;;Transportation;Sales;3080828.30266996;2023-07-01;JUL 2023;Transportation :  Sales
Monthly;2023;OCT;;Transportation;Sales;3162735.74784995;2023-10-01;OCT 2023;Transportation :  Sales
Monthly;2023;APR;;Health;Number of Transactions;31843.168;2023-04-01;APR 2023;Health :  Number of Transactions
Monthly;2023;MAY;;Health;Sales;3442461.53623;2023-05-01;MAY 2023;Health :  Sales
Monthly;2023;OCT;;Health;Sales;3501583.12962999;2023-10-01;OCT 2023;Health :  Sales
Monthly;2023;JAN;;Restaurants & Café;Number of Transactions;202323.694;2023-01-01;JAN 2023;Restaurants & Café :  Number of Transactions
Monthly;2023;OCT;;Restaurants & Café;Number of Transactions;234396.873;2023-10-01;OCT 2023;Restaurants & Café :  Number of Transactions
Monthly;2023;MAY;;Restaurants & Café;Sales;7619274.04296305;2023-05-01;MAY 2023;Restaurants & Café :  Sales
Monthly;2023;JUL;;Hotels;Sales;1137088.06775998;2023-07-01;JUL 2023;Hotels :  Sales
Monthly;2023;AUG;;Hotels;Sales;1264746.27485998;2023-08-01;AUG 2023;Hotels :  Sales
Monthly;2023;SEP;;Hotels;Sales;1059558.55785998;2023-09-01;SEP 2023;Hotels :  Sales
Monthly;2023;SEP;;Beverage and Food;Number of Transactions;186871.322;2023-09-01;SEP 2023;Beverage and Food :  Number of Transactions
Monthly;2023;NOV;;Beverage and Food;Number of Transactions;184049.631;2023-11-01;NOV 2023;Beverage and Food :  Number of Transactions
Monthly;2023;DEC;;Beverage and Food;Number of Transactions;192799.424;2023-12-01;DEC 2023;Beverage and Food :  Number of Transactions
Monthly;2023;MAY;;Beverage and Food;Sales;7827644.17297058;2023-05-01;MAY 2023;Beverage and Food :  Sales
Monthly;2023;JUN;;Beverage and Food;Sales;7768561.23232043;2023-06-01;JUN 2023;Beverage and Food :  Sales
Monthly;2023;MAY;;Clothing and Footwear;Number of Transactions;20553.459;2023-05-01;MAY 2023;Clothing and Footwear :  Number of Transactions
Monthly;2023;JAN;;Clothing and Footwear;Sales;3216834.90646046;2023-01-01;JAN 2023;Clothing and Footwear :  Sales
Monthly;2023;MAR;;Clothing and Footwear;Sales;4698612.89298134;2023-03-01;MAR 2023;Clothing and Footwear :  Sales
Monthly;2023;JUN;;Clothing and Footwear;Sales;4113983.11687069;2023-06-01;JUN 2023;Clothing and Footwear :  Sales
Monthly;2023;DEC;;Clothing and Footwear;Sales;3699367.60029061;2023-12-01;DEC 2023;Clothing and Footwear :  Sales
Monthly;2023;JUL;;Recreation and Culture;Number of Transactions;8678.899;2023-07-01;JUL 2023;Recreation and Culture :  Number of Transactions
Monthly;2023;OCT;;Recreation and Culture;Number of Transactions;11026.779;2023-10-01;OCT 2023;Recreation and Culture :  Number of Transactions
Monthly;2023;NOV;;Recreation and Culture;Number of Transactions;10955.871;2023-11-01;NOV 2023;Recreation and Culture :  Number of Transactions
Monthly;2023;DEC;;Recreation and Culture;Sales;1411033.52989998;2023-12-01;DEC 2023;Recreation and Culture :  Sales
Monthly;2023;MAR;;Miscellaneous Goods and Services;Number of Transactions;75586.091;2023-03-01;MAR 2023;Miscellaneous Goods and Services :  Number of Transactions
Monthly;2023;JUL;;Miscellaneous Goods and Services;Number of Transactions;82937.054;2023-07-01;JUL 2023;Miscellaneous Goods and Services :  Number of Transactions
Monthly;2023;AUG;;Miscellaneous Goods and Services;Number of Transactions;88655.11;2023-08-01;AUG 2023;Miscellaneous Goods and Services :  Number of Transactions
Monthly;2023;SEP;;Miscellaneous Goods and Services;Number of Transactions;88500.188;2023-09-01;SEP 2023;Miscellaneous Goods and Services :  Number of Transactions
Monthly;2023;DEC;;Miscellaneous Goods and Services;Sales;6384918.35784204;2023-12-01;DEC 2023;Miscellaneous Goods and Services :  Sales
Monthly;2023;FEB;;Electronic & Electric Devices;Number of Transactions;3254.337;2023-02-01;FEB 2023;Electronic & Electric Devices :  Number of Transactions
Monthly;2023;APR;;Electronic & Electric Devices;Number of Transactions;3752.008;2023-04-01;APR 2023;Electronic & Electric Devices :  Number of Transactions
Monthly;2023;MAY;;Electronic & Electric Devices;Number of Transactions;4345.25;2023-05-01;MAY 2023;Electronic & Electric Devices :  Number of Transactions
Monthly;2023;JUN;;Electronic & Electric Devices;Number of Transactions;4684.232;2023-06-01;JUN 2023;Electronic & Electric Devices :  Number of Transactions
Monthly;2023;NOV;;Electronic & Electric Devices;Number of Transactions;4700.451;2023-11-01;NOV 2023;Electronic & Electric Devices :  Number of Transactions
Monthly;2023;JAN;;Furniture;Number of Transactions;4472.763;2023-01-01;JAN 2023;Furniture :  Number of Transactions
Monthly;2023;FEB;;Furniture;Number of Transactions;4298.514;2023-02-01;FEB 2023;Furniture :  Number of Transactions
Monthly;2023;APR;;Furniture;Number of Transactions;5260.175;2023-04-01;APR 2023;Furniture :  Number of Transactions
Monthly;2023;JUL;;Furniture;Number of Transactions;4388.391;2023-07-01;JUL 2023;Furniture :  Number of Transactions
Monthly;2023;DEC;;Furniture;Number of Transactions;5517.111;2023-12-01;DEC 2023;Furniture :  Number of Transactions
Monthly;2023;MAY;;Furniture;Sales;1173781.63648997;2023-05-01;MAY 2023;Furniture :  Sales
Monthly;2023;AUG;;Furniture;Sales;1197723.49314996;2023-08-01;AUG 2023;Furniture :  Sales
Monthly;2023;JAN;;Construction & Building Materials;Number of Transactions;5381.946;2023-01-01;JAN 2023;Construction & Building Materials :  Number of Transactions
Monthly;2023;JUL;;Construction & Building Materials;Number of Transactions;5819.484;2023-07-01;JUL 2023;Construction & Building Materials :  Number of Transactions
Monthly;2023;AUG;;Construction & Building Materials;Number of Transactions;6008.562;2023-08-01;AUG 2023;Construction & Building Materials :  Number of Transactions
Monthly;2023;SEP;;Construction & Building Materials;Number of Transactions;5809.946;2023-09-01;SEP 2023;Construction & Building Materials :  Number of Transactions
Monthly;2023;OCT;;Construction & Building Materials;Number of Transactions;6384.501;2023-10-01;OCT 2023;Construction & Building Materials :  Number of Transactions
Monthly;2023;FEB;;Construction & Building Materials;Sales;1500612.26976996;2023-02-01;FEB 2023;Construction & Building Materials :  Sales
Monthly;2023;MAY;;Construction & Building Materials;Sales;1489350.09041995;2023-05-01;MAY 2023;Construction & Building Materials :  Sales
Monthly;2023;JUN;;Construction & Building Materials;Sales;1337391.65213996;2023-06-01;JUN 2023;Construction & Building Materials :  Sales
Monthly;2023;AUG;;Construction & Building Materials;Sales;1457004.42082996;2023-08-01;AUG 2023;Construction & Building Materials :  Sales
Monthly;2023;SEP;;Jewelry;Number of Transactions;923.112;2023-09-01;SEP 2023;Jewelry :  Number of Transactions
Monthly;2023;OCT;;Jewelry;Number of Transactions;927.079;2023-10-01;OCT 2023;Jewelry :  Number of Transactions
Monthly;2023;JUL;;Jewelry;Sales;922320.438019991;2023-07-01;JUL 2023;Jewelry :  Sales
Monthly;2023;NOV;;Jewelry;Sales;834576.310489991;2023-11-01;NOV 2023;Jewelry :  Sales
Monthly;2023;JUN;;Telecommunication;Number of Transactions;2723.955;2023-06-01;JUN 2023;Telecommunication :  Number of Transactions
Monthly;2023;AUG;;Telecommunication;Number of Transactions;3227.019;2023-08-01;AUG 2023;Telecommunication :  Number of Transactions
Monthly;2023;OCT;;Telecommunication;Number of Transactions;4033.975;2023-10-01;OCT 2023;Telecommunication :  Number of Transactions
Monthly;2023;JAN;;Telecommunication;Sales;432658.57186;2023-01-01;JAN 2023;Telecommunication :  Sales
Monthly;2023;APR;;Telecommunication;Sales;434314.746209996;2023-04-01;APR 2023;Telecommunication :  Sales
Monthly;2023;FEB;;Education;Number of Transactions;499.005;2023-02-01;FEB 2023;Education :  Number of Transactions
Monthly;2023;MAY;;Education;Number of Transactions;593.008;2023-05-01;MAY 2023;Education :  Number of Transactions
Monthly;2023;AUG;;Education;Number of Transactions;817.515;2023-08-01;AUG 2023;Education :  Number of Transactions
Monthly;2023;DEC;;Education;Number of Transactions;584.974;2023-12-01;DEC 2023;Education :  Number of Transactions
Monthly;2023;JAN;;Education;Sales;706987.868579996;2023-01-01;JAN 2023;Education :  Sales
Monthly;2023;FEB;;Education;Sales;513848.364759998;2023-02-01;FEB 2023;Education :  Sales
Monthly;2023;MAR;;Education;Sales;717254.635609997;2023-03-01;MAR 2023;Education :  Sales
Monthly;2023;APR;;Education;Sales;327634.67262;2023-04-01;APR 2023;Education :  Sales
Monthly;2023;MAY;;Education;Sales;715909.412709997;2023-05-01;MAY 2023;Education :  Sales
Monthly;2023;AUG;;Education;Sales;2766759.58020002;2023-08-01;AUG 2023;Education :  Sales
Monthly;2023;JAN;;Public Utilities;Sales;385394.840569995;2023-01-01;JAN 2023;Public Utilities :  Sales
