Periodicity;Year;Month;Quarter;Transactions / Sales;Sector;Value in different units;Date_Object;Date;Name
Monthly;2019;NOV;;Beverage and Food;Number of Transactions;40106.801;2019-11-01;NOV 2019;Beverage and Food :  Number of Transactions
Monthly;2019;DEC;;Clothing and Footwear;Number of Transactions;13139.273;2019-12-01;DEC 2019;Clothing and Footwear :  Number of Transactions
Monthly;2019;APR;;Clothing and Footwear;Sales;2746846.08937012;2019-04-01;APR 2019;Clothing and Footwear :  Sales
Monthly;2019;JUL;;Clothing and Footwear;Sales;2301733.81653994;2019-07-01;JUL 2019;Clothing and Footwear :  Sales
Monthly;2019;AUG;;Clothing and Footwear;Sales;2734288.6278601;2019-08-01;AUG 2019;Clothing and Footwear :  Sales
Monthly;2019;JAN;;Recreation and Culture;Number of Transactions;3478.476;2019-01-01;JAN 2019;Recreation and Culture :  Number of Transactions
Monthly;2019;APR;;Recreation and Culture;Number of Transactions;3361.925;2019-04-01;APR 2019;Recreation and Culture :  Number of Transactions
Monthly;2019;JUN;;Recreation and Culture;Number of Transactions;2971.953;2019-06-01;JUN 2019;Recreation and Culture :  Number of Transactions
Monthly;2019;JUL;;Recreation and Culture;Number of Transactions;3147.021;2019-07-01;JUL 2019;Recreation and Culture :  Number of Transactions
Monthly;2019;OCT;;Recreation and Culture;Number of Transactions;4565.201;2019-10-01;OCT 2019;Recreation and Culture :  Number of Transactions
Monthly;2019;NOV;;Recreation and Culture;Number of Transactions;4301.409;2019-11-01;NOV 2019;Recreation and Culture :  Number of Transactions
Monthly;2019;DEC;;Recreation and Culture;Number of Transactions;4552.97;2019-12-01;DEC 2019;Recreation and Culture :  Number of Transactions
Monthly;2019;JAN;;Miscellaneous Goods and Services;Number of Transactions;4227.172;2019-01-01;JAN 2019;Miscellaneous Goods and Services :  Number of Transactions
Monthly;2019;MAR;;Miscellaneous Goods and Services;Number of Transactions;4731.979;2019-03-01;MAR 2019;Miscellaneous Goods and Services :  Number of Transactions
Monthly;2019;OCT;;Miscellaneous Goods and Services;Number of Transactions;5954.014;2019-10-01;OCT 2019;Miscellaneous Goods and Services :  Number of Transactions
Monthly;2019;DEC;;Miscellaneous Goods and Services;Number of Transactions;6728.647;2019-12-01;DEC 2019;Miscellaneous Goods and Services :  Number of Transactions
Monthly;2019;APR;;Miscellaneous Goods and Services;Sales;2404890.99344997;2019-04-01;APR 2019;Miscellaneous Goods and Services :  Sales
Monthly;2019;MAR;;Electronic & Electric Devices;Number of Transactions;1357.754;2019-03-01;MAR 2019;Electronic & Electric Devices :  Number of Transactions
Monthly;2019;JAN;;Electronic & Electric Devices;Sales;676315.320779993;2019-01-01;JAN 2019;Electronic & Electric Devices :  Sales
