Periodicity;Year;Month;Quarter;Economic Activity;Bank Credit in (Million Riyals);Date;Date_Object
Monthly;2025;OCT;;Construction;143954.53255537;OCT 2025;2025-10-01
Monthly;2025;DEC;;Transportation and Storage;71975.4039785;DEC 2025;2025-12-01
Monthly;2025;FEB;;Accommodation and Food Service Activities;43467.027202;FEB 2025;2025-02-01
Monthly;2025;MAR;;Accommodation and Food Service Activities;45313.262;MAR 2025;2025-03-01
Monthly;2025;FEB;;Financial and Insurance Activities;165390.141164;FEB 2025;2025-02-01
Monthly;2025;JUL;;Financial and Insurance Activities;173711.88960508;JUL 2025;2025-07-01
Monthly;2025;SEP;;Financial and Insurance Activities;184660.106124693;SEP 2025;2025-09-01
Monthly;2025;APR;;Real Estate Activities;375228.06548815;APR 2025;2025-04-01
Monthly;2025;DEC;;Professional, Scientific and Technical Activities;15070.842;DEC 2025;2025-12-01
Monthly;2025;AUG;;Administrative and Support Service Activities;69984.336;AUG 2025;2025-08-01
Monthly;2025;OCT;;Administrative and Support Service Activities;70349.805;OCT 2025;2025-10-01
Monthly;2025;APR;;Education;9523.475;APR 2025;2025-04-01
Monthly;2025;DEC;;Education;7748.714;DEC 2025;2025-12-01
Monthly;2025;JAN;;Human Health and Social Work Activities;22078.131227;JAN 2025;2025-01-01
Monthly;2025;OCT;;Human Health and Social Work Activities;27452.59718;OCT 2025;2025-10-01
Monthly;2025;FEB;;Individuals' Loans;1382572.93749057;FEB 2025;2025-02-01
Monthly;2025;MAY;;Individuals' Loans;1414434.23551987;MAY 2025;2025-05-01
Monthly;2025;JUN;;Individuals' Loans;1398808.08862626;JUN 2025;2025-06-01
Monthly;2025;SEP;;Individuals' Loans;1425126.46258459;SEP 2025;2025-09-01
Monthly;2025;JAN;;Other Activities;151410.25966971;JAN 2025;2025-01-01
Monthly;2025;APR;;Other Activities;154798.35755946;APR 2025;2025-04-01
Monthly;2025;JUN;;Other Activities;161586.76833584;JUN 2025;2025-06-01
