Periodicity;Year;Month;Quarter;Economic Activity;Bank Credit in (Million Riyals);Date;Date_Object
Monthly;2021;SEP;;Human Health and Social Work Activities;13973.28502672;SEP 2021;2021-09-01
Monthly;2021;SEP;;Individuals' Loans;963449.390488175;SEP 2021;2021-09-01
Monthly;2021;DEC;;Other Activities;72860.97869615;DEC 2021;2021-12-01
Monthly;2021;SEP;;Total;2009159.665;SEP 2021;2021-09-01
Annually;2021;;;Agriculture, Forestry and Fishing;11588.52611396;2021;2021-01-01
Annually;2021;;;Construction;100750.40152985;2021;2021-01-01
Annually;2021;;;Transportation and Storage;46418.21474269;2021;2021-01-01
Annually;2021;;;Accommodation and Food Service Activities;34214.59456284;2021;2021-01-01
Annually;2021;;;Financial and Insurance Activities;81313.87412892;2021;2021-01-01
Annually;2021;;;Education;4661.45707122;2021;2021-01-01
Quarterly;2021;;Q3;Construction;105217.79626996;Q3 2021;2021-07-01
Quarterly;2021;;Q3;Transportation and Storage;46620.54117816;Q3 2021;2021-07-01
Quarterly;2021;;Q3;Human Health and Social Work Activities;13973.28502672;Q3 2021;2021-07-01
Quarterly;2021;;Q3;Other Activities;95895.7798226128;Q3 2021;2021-07-01
Monthly;2021;SEP;;Mining and Quarrying;30821.08492127;SEP 2021;2021-09-01
Monthly;2021;AUG;;Manufacturing;175696.436065737;AUG 2021;2021-08-01
Monthly;2021;NOV;;Manufacturing;176327.23808257;NOV 2021;2021-11-01
Monthly;2021;OCT;;Wholesale and Retail Trade;157373.628464809;OCT 2021;2021-10-01
Monthly;2021;NOV;;Wholesale and Retail Trade;156474.67204522;NOV 2021;2021-11-01
Monthly;2021;SEP;;Transportation and Storage;46620.54117816;SEP 2021;2021-09-01
Monthly;2021;SEP;;Information and Communication;18021.649867595;SEP 2021;2021-09-01
Monthly;2021;AUG;;Financial and Insurance Activities;74424.4500396933;AUG 2021;2021-08-01
Monthly;2021;DEC;;Real Estate Activities;158721.69694626;DEC 2021;2021-12-01
Monthly;2021;DEC;;Professional, Scientific and Technical Activities;5856.20270991;DEC 2021;2021-12-01
Monthly;2021;OCT;;Administrative and Support Service Activities;40105.85395439;OCT 2021;2021-10-01
Monthly;2021;OCT;;Human Health and Social Work Activities;14528.5490185533;OCT 2021;2021-10-01
Monthly;2021;DEC;;Human Health and Social Work Activities;15765.93561134;DEC 2021;2021-12-01
Monthly;2021;AUG;;Individuals' Loans;940201.657252358;AUG 2021;2021-08-01
Monthly;2021;SEP;;Other Activities;95895.7798226128;SEP 2021;2021-09-01
Annually;2021;;;Electricity, Gas and Water Supplies;92277.71099802;2021;2021-01-01
Annually;2021;;;Administrative and Support Service Activities;42826.44964668;2021;2021-01-01
Annually;2021;;;Human Health and Social Work Activities;15765.93561134;2021;2021-01-01
Annually;2021;;;Total;2059219.988;2021;2021-01-01
Quarterly;2021;;Q4;Agriculture, Forestry and Fishing;11588.52611396;Q4 2021;2021-10-01
Quarterly;2021;;Q3;Wholesale and Retail Trade;166778.94452969;Q3 2021;2021-07-01
Quarterly;2021;;Q4;Transportation and Storage;46418.21474269;Q4 2021;2021-10-01
Quarterly;2021;;Q3;Accommodation and Food Service Activities;30912.8600227208;Q3 2021;2021-07-01
Quarterly;2021;;Q3;Education;2821.33473411333;Q3 2021;2021-07-01
Monthly;2021;SEP;;Agriculture, Forestry and Fishing;11292.46367782;SEP 2021;2021-09-01
Monthly;2021;OCT;;Mining and Quarrying;30577.22045281;OCT 2021;2021-10-01
Monthly;2021;OCT;;Construction;106929.424839107;OCT 2021;2021-10-01
Monthly;2021;SEP;;Wholesale and Retail Trade;166778.94452969;SEP 2021;2021-09-01
Monthly;2021;NOV;;Accommodation and Food Service Activities;33287.99767409;NOV 2021;2021-11-01
Monthly;2021;SEP;;Real Estate Activities;143611.342982807;SEP 2021;2021-09-01
Monthly;2021;NOV;;Real Estate Activities;156430.30869192;NOV 2021;2021-11-01
Monthly;2021;AUG;;Administrative and Support Service Activities;38429.18074353;AUG 2021;2021-08-01
Monthly;2021;AUG;;Education;2686.5898143;AUG 2021;2021-08-01
Monthly;2021;AUG;;Other Activities;92759.7366823386;AUG 2021;2021-08-01
Monthly;2021;OCT;;Other Activities;74238.9810665945;OCT 2021;2021-10-01
Monthly;2021;AUG;;Total;1978826.16;AUG 2021;2021-08-01
Monthly;2021;NOV;;Total;2050752.929;NOV 2021;2021-11-01
Monthly;2021;DEC;;Total;2059219.988;DEC 2021;2021-12-01
